Volatility 3 Framework 2.7.0

Offset	Name	Size
0x16f223c0	\Windows\SysWOW64\jscript.dll	216
0x16f22820	\Windows\System32\wups2.dll	216
0x16f22970	\Windows\SysWOW64\mlang.dll	216
0x16f22f20	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Windows PowerShell\Windows PowerShell ISE.lnk	216
0x1722b450	\Windows\System32\oleaut32.dll	216
0x1722b7c0	\Windows\System32\msvcrt.dll	216
0x1722bbc0	\Windows\System32\shell32.dll	216
0x1728f370	\Windows\SysWOW64\api-ms-win-downlevel-advapi32-l2-1-0.dll	216
0x1728ff20	\Windows\System32\config\TxR\{016888cc-6c6f-11de-8d1d-001e0bcde3ec}.TxR.1.regtrans-ms	216
0x176efa10	\Windows\System32\udhisapi.dll	216
0x179a43b0	\Windows\System32\normaliz.dll	216
0x17b01050	\$Directory	216
0x17daea40	\Windows\System32\imagehlp.dll	216
0x181cf270	\Windows\winsxs\amd64_microsoft.vc80.crt_1fc8b3b9a1e18e3b_8.0.50727.4940_none_88df89932faf0bf6\msvcr80.dll	216
0x1821ddd0	\$Directory	216
0x182af900	TxfLog	216
0x1840f700	\Windows\System32\shlwapi.dll	216
0x1840fa70	\Windows\System32\iertutil.dll	216
0x18480810	\Windows\System32\urlmon.dll	216
0x18677070	\Windows\System32\nsi.dll	216
0x18677910	\Windows\System32\difxapi.dll	216
0x18677c80	\Windows\System32\ole32.dll	216
0x188085b0	\$Directory	216
0x189ca230	\Windows\System32\comdlg32.dll	216
0x189ca4e0	\Windows\System32\gdi32.dll	216
0x189ca960	\Windows\System32\msctf.dll	216
0x189caf20	\Windows\System32\ws2_32.dll	216
0x18b35070	\Program Files\IDA Freeware 8.2\plugins\golang64.dll	216
0x18e5cb60	KtmLog	216
0x18f16070	\Windows\System32\user32.dll	216
0x18f16710	\Windows\System32\advapi32.dll	216
0x190441a0	\Device\HarddiskVolume2\$Extend\$RmMetadata\$TxfLog\$TxfLog	216
0x19044910	\Device\HarddiskVolume2\$Extend\$RmMetadata\$TxfLog\$TxfLog	216
0x19218340	\Windows\System32\winevt\Logs\Microsoft-Windows-UAC-FileVirtualization%4Operational.evtx	216
0x19218490	\Program Files\IDA Freeware 8.2\plugins\hexx64.dll	216
0x192185e0	\Windows\System32\mapi32.dll	216
0x19218730	\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.18837_none_fa3b1e3d17594757	216
0x19218910	\Windows\System32\ifsutil.dll	216
0x193641d0	\Windows\System32\kernel32.dll	216
0x19364760	\Windows\System32\imm32.dll	216
0x19364bc0	\Windows\System32\setupapi.dll	216
0x193ce960	\$Directory	216
0x1972b070	\Windows\System32\winevt\Logs\Microsoft-Windows-Application-Experience%4Program-Compatibility-Troubleshooter.evtx	216
0x1a06d970	\Windows\System32\advpack.dll	216
0x1a15c070	\Windows\SysWOW64\stdole2.tlb	216
0x1a243250	\Windows\System32\userenv.dll	216
0x1a2436b0	\Windows\System32\KernelBase.dll	216
0x1a2438c0	\Windows\System32\api-ms-win-downlevel-ole32-l1-1-0.dll	216
0x1a3a8b70	\Users\Analyst\Desktop\REMA-Tools\x64dbg\release\x32\Qt5Network.dll	216
0x1a3ef500	\Windows\System32\cfgmgr32.dll	216
0x1a3ef7a0	\Windows\System32\devobj.dll	216
0x1a4cba60	\Windows\System32\ksuser.dll	216
0x1a4cbbb0	\Windows\System32\en-US\wdmaud.drv.mui	216
0x1a4cbf20	\Windows\Fonts\iskpota.ttf	216
0x1a501460	\Windows\System32\api-ms-win-downlevel-advapi32-l1-1-0.dll	216
0x1a501820	\Windows\System32\api-ms-win-downlevel-user32-l1-1-0.dll	216
0x1a501b90	\Windows\System32\api-ms-win-downlevel-normaliz-l1-1-0.dll	216
0x1a510aa0	\Windows\System32\comctl32.dll	216
0x1a51b400	\Windows\System32\rpcss.dll	216
0x1a789900	\$Directory	216
0x1a789a30	\$Directory	216
0x1aa75700	\Windows\System32\crypt32.dll	216
0x1aa75e60	\Windows\System32\api-ms-win-downlevel-shlwapi-l1-1-0.dll	216
0x1ab609f0	\ProgramData\Microsoft\Windows Defender\Scans\mpcache-533FB7FA2417DD66822F9B153124F76B59358624.bin.79	216
0x1adb2500	\Boot\BCD.LOG	216
0x1b06dbb0	\Windows\System32	216
0x1b06dd10	\Program Files\VMware\VMware Tools\gmodule-2.0.dll	216
0x1b0d9a20	\Windows\System32\wintrust.dll	216
0x1b0d9de0	\Windows\System32\api-ms-win-downlevel-version-l1-1-0.dll	216
0x1b531510	\Windows\System32\winmm.dll	216
0x1b531660	\Windows\System32\wdmaud.drv	216
0x1b531a20	\$Mft	216
0x1bc4ca30	\Windows\Globalization\Sorting\SortDefault.nls	216
0x1bc4cca0	\$BitMap	216
0x1bcfad10	\ProgramData\Microsoft\Windows Defender\Definition Updates\{B0B04A00-94B2-48C4-B9FC-A962CB7A1855}\offreg.608.dll	216
0x1bdc1620	\Windows\SysWOW64\KernelBase.dll	216
0x1bdc1ba0	\Windows\SysWOW64\api-ms-win-downlevel-ole32-l1-1-0.dll	216
0x1bf41070	\Windows\SysWOW64\api-ms-win-downlevel-shlwapi-l1-1-0.dll	216
0x1bf41450	\Windows\SysWOW64\lpk.dll	216
0x1bf416e0	\Windows\SysWOW64\shell32.dll	216
0x1bfa0bc0	\Windows\Fonts\cordia.ttf	216
0x1c0cc070	\Program Files\IDA Freeware 8.2\plugins\eh_parse64.dll	216
